utc,tweetid,user,text
2020-05-06T03:18:27.000Z,1257872328458858496,rukachi_ren_03,RT @sakuma3939_2525 : 密ですビート/Atree様『STAY HOME』Mix=パミ様(@ PaMi_Mix2)Encode= れっさー様(@ lesser41567)Vocal=咲舞Full☟Y(https://t.co/hlnurXywIO)N(https://t.co/31ZeGr77Uz)#密です #密ですビート#東京都#小池百合子#ソーシャルディスタンス#歌ってみた#さくまのうた https://t.co/bmde76RWTk
2020-05-06T03:18:23.000Z,1257872310884659201,lyra19951028,RT @MIWMIWMIW88RT : @llln0852 @tBMvr9uJ6WAi8Wm 大賛成‼️ab◯友大嘘タヌキが再選されたら東京が死ぬ＝日本が死ぬ‼️残り2ヶ月で落選させる動き=リアルでも訴え拡散を‼️総裁、#miwch メンバー私達は下記動画でも小池叩き中#緊急事態宣言 #小池百合子 #JRP #実践実学大学https://t.co/XefrNCf46rhttps://t.co/qbeD3EfMOjhttps://t.co/MBthbt0NQl
2020-05-06T03:18:21.000Z,1257872301011292160,NANO95513388,RT @sakiaoi11 : 次の東京都知事に相応しいのは誰だと思いますか⁉️今回はこの4名です☺️#アンケート調査 #拡散希望 #相互フォロー#東京都知事 #選挙へいこう #政治 #野党統一 #野党共闘　#拡散希望RTお願いします#小池百合子 #桜井誠 #前川喜平 #山本太郎
2020-05-06T03:18:02.000Z,1257872221453729793,XCW7Ov0VO0h3Fmu,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T03:17:38.000Z,1257872121943883779,4NwrbbC6S2HjBfV,三蜜ヲ守リ、新型コロナウィルスノ感染ヲ防ギマセウ。#小池百合子 #東京都知事 #朝日新聞 #毎日新聞 #読賣新聞 #日本経済新聞 #もふもふモフモフ https://t.co/OOGzza8p34
2020-05-06T03:16:49.000Z,1257871917043691521,fiendishorc,#バイキング #小池百合子 推しが気持ち悪い。「学生バイト支援」に行政手続きのバイトって・・・都のバイトが必要な大学生が何人いて、バイトが何人必要なのか？暇なバイトを雇うんだ。それに、今回の件、#個人情報 の核となる、住所氏名年収等を意識の低いバイトに扱わせるリスクは大問題だぞ？
2020-05-06T03:16:04.000Z,1257871725108228097,midori25pink,RT @sakiaoi11 : 次の東京都知事に相応しいのは誰だと思いますか⁉️今回はこの4名です☺️#アンケート調査 #拡散希望 #相互フォロー#東京都知事 #選挙へいこう #政治 #野党統一 #野党共闘　#拡散希望RTお願いします#小池百合子 #桜井誠 #前川喜平 #山本太郎
2020-05-06T03:14:42.000Z,1257871383326908416,hi19643967,北海道鈴木、愛知大村は○、宮城△、石川、千葉、神奈川×、小池都政は？　政治学者・御厨貴「知事たちの通信簿　東日本編」 #新型コロナ #鈴木直道 #小池百合子 #大村秀章 #御厨貴 #文春オンライン https://t.co/3gVI1hgjoH
2020-05-06T03:14:00.000Z,1257871207619158017,yayoi_o_10_nbo,RT @sakiaoi11 : 次の東京都知事に相応しいのは誰だと思いますか⁉️今回はこの4名です☺️#アンケート調査 #拡散希望 #相互フォロー#東京都知事 #選挙へいこう #政治 #野党統一 #野党共闘　#拡散希望RTお願いします#小池百合子 #桜井誠 #前川喜平 #山本太郎
2020-05-06T03:13:52.000Z,1257871173611696129,way_to_dawns,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T03:13:15.000Z,1257871019789807617,mikm_ahaha,小池さん、次の総理になってくれないかなあ#小池都知事 #総理大臣#小池百合子
2020-05-06T03:13:09.000Z,1257870993470578689,hitokotoneta3,RT @sakiaoi11 : 次の東京都知事に相応しいのは誰だと思いますか⁉️今回はこの4名です☺️#アンケート調査 #拡散希望 #相互フォロー#東京都知事 #選挙へいこう #政治 #野党統一 #野党共闘　#拡散希望RTお願いします#小池百合子 #桜井誠 #前川喜平 #山本太郎
2020-05-06T03:12:05.000Z,1257870723969769472,Takajin_Remembe,国がちゃんとやらねえから都がやらなきゃいけねえんだよ。マジで安倍と麻生死ね！って思うよね。#小池百合子 #安倍晋三 #麻生太郎 #バイキング #フジテレビ
